Pro,Anti,Year,Party,Total,Index
3,0,2007,D,3,1202
20,0,2007,D,20,1203
19,1,2007,D,20,1204
19,1,2007,D,20,1205
18,2,2007,D,20,1206
18,2,2007,D,20,1207
14,6,2007,D,20,1208
1,19,2007,R,20,1209
14,6,2007,R,20,1210
0,20,2007,R,20,1211
16,4,2007,D,20,1212
7,13,2007,R,20,1213
1,19,2007,R,20,1215
1,19,2007,R,20,1216
4,16,2007,R,20,1217
5,15,2007,R,20,1218
3,17,2007,R,20,1219
18,2,2007,D,20,1220
16,4,2007,D,20,1221
17,3,2007,D,20,1222
18,2,2007,D,20,1223
17,3,2007,D,20,1225
0,20,2007,R,20,1226
19,1,2007,R,20,1227
19,1,2007,D,20,1228
20,0,2007,D,20,1229
0,20,2007,R,20,1231
12,8,2007,D,20,1232
15,5,2007,D,20,1233
1,19,2007,R,20,1234
17,3,2007,D,20,1235
1,19,2007,R,20,1236
16,4,2007,D,20,1237
15,5,2007,D,20,1238
1,19,2007,R,20,1239
18,2,2007,D,20,1240
14,6,2007,D,20,1241
17,3,2007,D,20,1242
1,19,2007,R,20,1243
0,20,2007,R,20,1244
3,17,2007,R,20,1245
1,19,2007,R,20,1246
2,18,2007,R,20,1247
9,11,2007,R,20,1248
3,17,2007,R,20,1249
1,19,2007,R,20,1251
15,5,2007,D,20,1252
3,17,2007,R,20,1254
6,14,2007,R,20,1255
18,2,2007,D,20,1257
20,0,2007,D,20,1259
20,0,2007,D,20,1260
18,2,2007,R,20,1261
15,5,2007,R,20,1262
17,3,2007,R,20,1263
4,16,2007,R,20,1264
20,0,2007,D,20,1265
17,3,2007,R,20,1266
20,0,2007,D,20,1267
18,2,2007,D,20,1268
15,5,2007,D,20,1269
14,6,2007,R,20,1270
20,0,2007,D,20,1271
19,1,2007,D,20,1273
3,17,2007,R,20,1274
0,20,2007,R,20,1275
20,0,2007,D,20,1276
20,0,2007,D,20,1277
20,0,2007,D,20,1278
6,14,2007,R,20,1279
20,0,2007,D,20,1280
17,3,2007,D,20,1281
18,2,2007,D,20,1282
19,1,2007,D,20,1283
19,1,2007,D,20,1284
18,2,2007,D,20,1285
18,2,2007,D,20,1286
16,4,2007,D,20,1288
17,3,2007,D,20,1289
6,14,2007,R,20,1290
20,0,2007,D,20,1291
18,2,2007,D,20,1292
17,3,2007,D,20,1293
17,3,2007,D,20,1294
19,1,2007,D,20,1295
19,1,2007,D,20,1297
19,1,2007,D,20,1299
19,1,2007,D,20,1300
19,1,2007,D,20,1301
9,11,2007,R,20,1302
18,2,2007,D,20,1304
9,11,2007,R,20,1305
1,19,2007,R,20,1306
19,1,2007,D,20,1307
19,1,2007,D,20,1308
6,14,2007,R,20,1309
14,6,2007,D,20,1310
17,3,2007,D,20,1311
8,12,2007,R,20,1312
19,1,2007,D,20,1313
2,18,2007,R,20,1314
1,19,2007,R,20,1315
15,5,2007,D,20,1316
3,17,2007,R,20,1317
2,18,2007,R,20,1318
0,20,2007,R,20,1319
15,5,2007,D,20,1321
19,1,2007,D,20,1322
18,2,2007,D,20,1323
17,3,2007,D,20,1324
4,16,2007,R,20,1325
2,18,2007,R,20,1327
2,18,2007,R,20,1328
1,19,2007,R,20,1330
7,10,2007,R,17,1331
12,0,2007,D,12,1333
4,16,2007,R,20,1334
0,20,2007,R,20,1335
16,4,2007,D,20,1336
16,4,2007,D,20,1337
15,5,2007,D,20,1338
3,17,2007,R,20,1339
17,0,2007,D,17,1341
8,12,2007,R,20,1342
5,15,2007,R,20,1343
4,16,2007,R,20,1344
16,4,2007,D,20,1345
12,0,2007,D,12,1347
1,19,2007,R,20,1348
3,17,2007,D,20,1349
0,20,2007,R,20,1350
0,20,2007,R,20,1351
20,0,2007,D,20,1353
4,16,2007,R,20,1354
20,0,2007,D,20,1355
19,1,2007,D,20,1356
17,3,2007,D,20,1357
17,3,2007,D,20,1358
18,2,2007,D,20,1359
7,13,2007,R,20,1360
16,4,2007,D,20,1362
2,18,2007,R,20,1363
14,6,2007,R,20,1364
20,0,2007,D,20,1366
18,2,2007,D,20,1368
1,19,2007,R,20,1369
16,4,2007,R,20,1370
14,6,2007,D,20,1371
15,5,2007,D,20,1372
19,1,2007,D,20,1373
16,4,2007,D,20,1374
11,9,2007,R,20,1375
2,18,2007,R,20,1376
14,6,2007,D,20,1377
4,16,2007,R,20,1378
11,9,2007,R,20,1379
18,2,2007,D,20,1380
19,1,2007,D,20,1381
1,19,2007,R,20,1382
0,20,2007,R,20,1383
1,19,2007,R,20,1384
5,15,2007,R,20,1385
17,3,2007,D,20,1386
16,4,2007,D,20,1387
14,6,2007,D,20,1388
2,0,2007,R,2,1390
2,18,2007,R,20,1391
2,18,2007,R,20,1392
15,5,2007,D,20,1393
16,4,2007,D,20,1394
16,4,2007,D,20,1395
1,19,2007,R,20,1396
14,6,2007,D,20,1397
19,0,2007,D,19,1399
0,20,2007,R,20,1400
1,19,2007,R,20,1401
1,19,2007,R,20,1402
0,20,2007,R,20,1403
3,17,2007,R,20,1404
0,20,2007,R,20,1405
0,20,2007,R,20,1406
0,20,2007,R,20,1407
17,3,2007,D,20,1408
2,18,2007,R,20,1409
0,20,2007,R,20,1410
0,20,2007,R,20,1411
0,20,2007,R,20,1412
3,17,2007,R,20,1413
11,9,2007,D,20,1414
14,6,2007,D,20,1415
12,8,2007,D,20,1416
18,2,2007,D,20,1417
0,20,2007,R,20,1418
17,3,2007,D,20,1419
0,20,2007,R,20,1420
10,10,2007,D,20,1422
16,4,2007,D,20,1424
1,19,2007,R,20,1425
18,2,2007,D,20,1426
0,20,2007,R,20,1427
7,13,2007,D,20,1428
13,7,2007,D,20,1429
13,7,2007,D,20,1430
16,4,2007,D,20,1431
0,20,2007,R,20,1432
0,20,2007,R,20,1433
0,20,2007,R,20,1434
11,9,2007,D,20,1435
2,18,2007,R,20,1436
19,1,2007,D,20,1437
0,20,2007,R,20,1438
2,18,2007,R,20,1439
18,2,2007,D,20,1440
1,19,2007,R,20,1441
0,20,2007,R,20,1442
0,20,2007,R,20,1443
1,19,2007,R,20,1444
19,1,2007,D,20,1445
15,5,2007,D,20,1446
12,8,2007,R,20,1447
8,12,2007,R,20,1448
19,1,2007,D,20,1449
16,4,2007,D,20,1450
19,1,2007,D,20,1451
1,19,2007,R,20,1452
1,19,2007,R,20,1453
19,1,2007,D,20,1454
19,1,2007,D,20,1455
17,3,2007,R,20,1456
18,2,2007,D,20,1457
11,9,2007,D,20,1458
4,16,2007,R,20,1459
15,5,2007,D,20,1460
5,15,2007,R,20,1461
20,0,2007,D,20,1462
19,1,2007,D,20,1463
19,1,2007,D,20,1464
4,16,2007,R,20,1465
10,10,2007,R,20,1466
18,2,2007,D,20,1467
18,2,2007,D,20,1469
0,20,2007,R,20,1470
